link,name,price
chocolate.co.uk/products/100-dark-hot-chocolate-flakes,100% Dark Hot Chocolate Flakes,10.95
chocolate.co.uk/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops,2.5kg Bulk 41% Milk Hot Chocolate Drops,49.5
chocolate.co.uk/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops,2.5kg Bulk 61% Dark Hot Chocolate Drops,49.5
chocolate.co.uk/products/41-colombian-milk-hot-chocolate-drops,41% Milk Hot Chocolate Drops,9.62
chocolate.co.uk/products/62-dark-hot-chocolate,61% Dark Hot Chocolate Drops,9.62
chocolate.co.uk/products/70-dark-hot-chocolate-flakes,70% Dark Hot Chocolate Flakes,10.95
chocolate.co.uk/products/almost-perfect,Almost Perfect,1.65
chocolate.co.uk/products/assorted-chocolate-malt-balls,Assorted Chocolate Malt Balls,9.9
chocolate.co.uk/products/blonde-caramel-chocolate-bar,Blonde Caramel,5.5
chocolate.co.uk/products/blonde-chocolate-honeycomb,Blonde Chocolate Honeycomb,9.9
chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb,Blonde Chocolate Honeycomb - Bag,9.35
chocolate.co.uk/products/blonde-chocolate-malt-balls,Blonde Chocolate Malt Balls,9.9
chocolate.co.uk/products/blonde-chocolate-truffles,Blonde Chocolate Truffles,21.95
chocolate.co.uk/products/blonde-hot-chocolate-flakes,Blonde Hot Chocolate Flakes,10.95
chocolate.co.uk/products/bulk-41-milk-hot-chocolate-drops-750-grams,Bulk 41% Milk Hot Chocolate Drops 750 grams,19.25
chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops,Bulk 61% Dark Hot Chocolate Drops 750 grams,19.25
chocolate.co.uk/products/caramelised-milk-chocolate-bar,Caramelised Milk,5.5
chocolate.co.uk/products/chocolate-caramelised-pecan-nuts,Chocolate Caramelised Pecan Nuts,9.85
chocolate.co.uk/products/celebration-hamper,Chocolate Celebration Hamper,60.5
chocolate.co.uk/products/christmas-cracker-chocolate-bar,Christmas Cracker,5.5
chocolate.co.uk/products/pre-order-christmas-truffle-selection,Christmas Truffle Selection,21.95
chocolate.co.uk/products/cinnamon-toast-chocolate-bar,Cinnamon Toast,5.5
chocolate.co.uk/products/collection-of-our-best-selling-chocolate-malt-balls,Collection of 4 of our Best Selling Chocolate Malt Balls,33.0
chocolate.co.uk/products/colombian-dark-chocolate-bar,Colombia 61%,5.5
chocolate.co.uk/products/ecuadorian-41-milk-chocolate-bar,Colombian 41%,5.5
chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar,Crunchy Biscuit,5.5
chocolate.co.uk/products/dark-chocolate-ginger,Dark Chocolate Ginger,9.85
chocolate.co.uk/products/dark-chocolate-honeycomb-1,Dark Chocolate Honeycomb,9.9
chocolate.co.uk/products/dark-chocolate-honeycomb,Dark Chocolate Honeycomb - Bag,9.35
chocolate.co.uk/products/dark-chocolate-malt-balls,Dark Chocolate Malt Balls,9.9
chocolate.co.uk/products/dark-chocolate-orange-peel,Dark Chocolate Orange Peel,9.85
chocolate.co.uk/products/dark-chocolate-truffles,Dark Chocolate Truffles,21.95
chocolate.co.uk/products/flat-white-coffee,Flat White Coffee,5.5
chocolate.co.uk/products/gift-voucher,Gift Voucher,11.0
chocolate.co.uk/products/ginger-biscuit-chocolate-bar,Ginger Biscuit,5.5
chocolate.co.uk/products/honeycomb-crunch,Honeycomb Crunch,5.5
chocolate.co.uk/products/hot-chocolate-shaker-new,Hot Chocolate Shaker,27.5
chocolate.co.uk/products/box-of-the-month-subscription-1,January Box of the Month,33.0
chocolate.co.uk/products/luxury-chocolate-hamper,Luxury Chocolate Hamper,93.5
chocolate.co.uk/products/copy-of-luxury-chocolate-hamper,Luxury Chocolate Hamper with bottle of Champagne,110.0
